,Layer,U,V,Type,Shape,cells,cmssw_type,cmssw_shape,cmssw_cells,nHitsTotal,corrFactorTotal,nHistsToA,corrFactorToA,nHitsBXM1,corrFactorBXM1,EvSize
0,1,1,2,0,d,160,0,g,162,98.4914,0.98978,10.4994,1.0,38.2632,0.98998,79.9206
1,1,1,3,0,F,432,0,F,432,168.7088,1.0,13.5402,1.0,43.9544,1.0,133.0574
2,1,1,4,0,F,432,0,F,432,89.034,1.0,5.6574,1.0,15.7694,1.0,83.117
3,1,1,5,1,F,192,1,F,192,51.8674,1.0,6.9858,1.0,14.902,1.0,50.1944
4,1,1,6,1,F,192,1,F,192,31.456,1.0,3.9062,1.0,8.8354,1.0,37.1542
5,1,1,7,1,F,192,1,F,192,19.2232,1.0,2.3884,1.0,5.182,1.0,29.4308
6,1,1,8,1,F,192,1,F,192,11.6094,1.0,2.9076,1.0,1.8998,1.0,24.2624
7,1,1,9,1,b,164,1,F,164,5.779,1.0,1.4868,1.0,1.0624,1.0,16.6794
8,1,2,0,0,g,307,0,a,288,160.427,1.065975,15.4968,1.068582,57.4738,1.065619,134.7174
9,1,2,1,0,d,160,0,g,162,98.2994,0.989784,10.453,1.0,38.2206,0.990079,79.7778
10,1,2,2,0,g,307,0,a,300,169.4226,1.023424,16.6324,1.010137,61.6474,1.022454,136.3026
11,1,2,3,0,F,432,0,F,432,168.47,1.0,13.4644,1.0,43.8536,1.0,132.9196
12,1,2,4,0,F,432,0,F,432,96.8206,1.0,6.2094,1.0,17.8884,1.0,87.5502
13,1,2,5,0,F,432,0,F,432,57.0332,1.0,3.2816,1.0,8.7818,1.0,64.3016
14,1,2,6,1,F,192,1,F,192,35.4566,1.0,4.5018,1.0,10.0482,1.0,39.6716
15,1,2,7,1,F,192,1,F,192,22.0976,1.0,2.7944,1.0,5.9318,1.0,31.2562
16,1,2,8,1,F,192,1,F,192,13.003,1.0,3.2,1.0,2.1808,1.0,25.4318
17,1,2,9,1,L,226,1,F,192,8.5118,1.17726,2.1374,1.166557,1.4848,1.139143,24.6188
18,1,3,0,0,F,432,0,F,432,130.9514,1.0,9.354,1.0,28.4328,1.0,108.2424
19,1,3,1,0,F,432,0,F,432,168.846,1.0,13.5538,1.0,43.901,1.0,133.148
20,1,3,2,0,F,432,0,F,432,168.7742,1.0,13.5096,1.0,43.8434,1.0,133.0988
21,1,3,3,0,F,432,0,F,432,130.8366,1.0,9.3556,1.0,28.299,1.0,108.122
22,1,3,4,0,F,432,0,F,432,89.2932,1.0,5.6836,1.0,15.8694,1.0,83.2406
23,1,3,5,0,F,432,0,F,432,56.9348,1.0,3.2996,1.0,8.7862,1.0,64.2256
24,1,3,6,1,F,192,1,F,192,37.7018,1.0,4.8658,1.0,10.682,1.0,41.1302
25,1,3,7,1,F,192,1,F,192,24.1262,1.0,2.9998,1.0,6.6128,1.0,32.5772
26,1,3,8,1,F,192,1,F,192,16.4172,1.0,1.961,1.0,4.4362,1.0,27.574
27,1,3,9,1,F,192,1,F,192,9.9314,1.0,2.4748,1.0,1.7168,1.0,22.7724
28,1,3,10,1,a,100,1,a,92,3.0914,1.044381,0.8144,1.006385,0.5704,1.002805,10.7124
29,1,4,0,0,F,432,0,F,432,70.2348,1.0,4.2576,1.0,11.4682,1.0,72.1994
30,1,4,1,0,F,432,0,F,432,89.128,1.0,5.6224,1.0,15.7908,1.0,83.1452
31,1,4,2,0,F,432,0,F,432,97.3098,1.0,6.2474,1.0,18.037,1.0,87.7886
32,1,4,3,0,F,432,0,F,432,89.0366,1.0,5.5648,1.0,15.8306,1.0,83.0456
33,1,4,4,0,F,432,0,F,432,69.9706,1.0,4.1736,1.0,11.4216,1.0,71.9718
34,1,4,5,0,F,432,1,F,192,51.7084,1.032633,7.0038,0.399298,14.7566,0.683992,63.9154
35,1,4,6,1,F,192,1,F,192,35.5584,1.0,4.5192,1.0,10.0382,1.0,39.7658
36,1,4,7,1,F,192,1,F,192,24.091,1.0,3.0054,1.0,6.6376,1.0,32.5694
37,1,4,8,1,F,192,1,F,192,16.9076,1.0,2.0584,1.0,4.5396,1.0,27.9012
38,1,4,9,1,F,192,1,F,192,10.8286,1.0,2.7114,1.0,1.8484,1.0,23.5746
39,1,4,10,1,b,164,1,d,164,5.296,1.0,1.3912,1.0,1.0104,1.0,16.0298
40,1,5,0,1,F,192,1,F,192,41.6944,1.0,5.3374,1.0,11.9932,1.0,43.6298
41,1,5,1,0,F,432,1,F,192,51.7774,1.032817,7.0114,0.400063,14.8274,0.683437,63.9056
42,1,5,2,0,F,432,0,F,432,57.176,1.0,3.289,1.0,8.7872,1.0,64.3384
43,1,5,3,0,F,432,0,F,432,56.7502,1.0,3.2494,1.0,8.6688,1.0,64.091
44,1,5,4,1,F,192,1,F,192,51.6764,1.0,7.0338,1.0,14.8378,1.0,50.121
45,1,5,5,1,F,192,1,F,192,41.4502,1.0,5.4,1.0,11.7806,1.0,43.4858
46,1,5,6,1,F,192,1,F,192,31.6362,1.0,3.9768,1.0,8.9596,1.0,37.358
47,1,5,7,1,F,192,1,F,192,22.0502,1.0,2.7168,1.0,5.9672,1.0,31.2278
48,1,5,8,1,F,192,1,F,192,16.3356,1.0,1.9912,1.0,4.373,1.0,27.509
49,1,5,9,1,F,192,1,F,192,10.5982,1.0,2.6504,1.0,1.8364,1.0,23.3674
50,1,5,10,1,d,100,1,d,100,3.7416,1.0,0.9992,1.0,0.7108,1.0,11.4716
51,1,6,0,1,F,192,1,F,192,24.8472,1.0,3.0538,1.0,6.8928,1.0,33.0218
52,1,6,1,1,F,192,1,F,192,31.4554,1.0,3.9406,1.0,8.9012,1.0,37.1848
