,Layer,U,V,Type,Shape,cells,cmssw_type,cmssw_shape,cmssw_cells,nHitsTotal,corrFactorTotal,nHistsToA,corrFactorToA,nHitsBXM1,corrFactorBXM1,EvSize
4074,40,5,5,1,F,192,1,F,192,0.8766,1.0,0.17,1.0,0.1566,1.0,10.6084
4075,40,5,6,1,F,192,1,F,192,0.5298,1.0,0.1094,1.0,0.0806,1.0,9.991
4076,40,5,7,1,F,192,1,F,192,0.3068,1.0,0.0636,1.0,0.0444,1.0,9.5842
4077,40,5,8,1,L,226,1,F,192,0.1828,1.041575,0.0386,1.036269,0.0274,1.021898,10.3666
4078,40,6,1,1,F,192,1,F,192,0.3732,1.0,0.078,1.0,0.054,1.0,9.6972
4079,40,6,2,1,F,192,1,F,192,0.5178,1.0,0.105,1.0,0.084,1.0,9.9724
4080,40,6,3,1,F,192,1,F,192,0.5944,1.0,0.1262,1.0,0.0884,1.0,10.102
4081,40,6,4,1,F,192,1,F,192,0.5706,1.0,0.1242,1.0,0.0812,1.0,10.0508
4082,40,6,5,1,F,192,1,F,192,0.5072,1.0,0.1042,1.0,0.0784,1.0,9.9484
4083,40,6,6,1,F,192,1,F,192,0.3514,1.0,0.076,1.0,0.049,1.0,9.6628
4084,40,6,7,1,F,192,1,F,192,0.2532,1.0,0.0532,1.0,0.0354,1.0,9.478
4085,40,6,8,1,L,226,1,F,192,0.1484,1.03504,0.0342,1.017544,0.019,1.0,10.2926
4086,40,7,1,1,F,192,1,F,192,0.1772,1.0,0.0332,1.0,0.0224,1.0,9.341
4087,40,7,2,1,F,192,1,F,192,0.235,1.0,0.0488,1.0,0.0272,1.0,9.4484
4088,40,7,3,1,F,192,1,F,192,0.2598,1.0,0.054,1.0,0.0342,1.0,9.497
4089,40,7,4,1,F,192,1,F,192,0.304,1.0,0.0698,1.0,0.0474,1.0,9.5742
4090,40,7,5,1,F,192,1,F,192,0.2646,1.0,0.0578,1.0,0.0358,1.0,9.502
4091,40,7,6,1,F,192,1,F,192,0.2168,1.0,0.0504,1.0,0.026,1.0,9.4142
4092,40,7,7,1,F,192,1,F,192,0.1708,1.0,0.0352,1.0,0.0236,1.0,9.3262
4093,40,7,8,1,a,100,1,a,139,0.0844,0.864929,0.0222,0.864865,0.008,0.95,6.1378
4094,40,8,2,1,a,100,1,a,122,0.0742,0.975741,0.0146,0.986301,0.0106,1.0,6.1408
4095,40,8,3,1,b,164,1,b,181,0.1278,0.99374,0.026,1.0,0.014,1.0,8.2438
4096,40,8,4,1,b,164,1,b,192,0.1494,0.98929,0.0316,1.0,0.0168,1.0,8.2842
4097,40,8,5,1,b,164,1,b,192,0.138,0.985507,0.0288,0.986111,0.0156,1.0,8.263
4098,40,8,6,1,b,164,1,b,179,0.119,0.991597,0.022,1.0,0.017,1.0,8.2262
4099,40,8,7,1,a,100,1,a,123,0.069,0.982609,0.0122,0.983607,0.0086,1.0,6.1322
4100,40,15,0,8,c,266,2,F,270,3.2504,1.0,0.6564,1.0,0.0,0.0,18.987
