,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
80,140,154.7615,5,5,6.5,0,1384,4,False,4.952368,990.4736
81,141,154.6888,5,5,6.5,6.5,1390.5,4,False,4.9500416,990.00832
82,142,194.9946,6,5,7,6,1398,5,False,6.2398272,1039.9712
83,143,194.8915,6,5,1,7,1303,5,False,6.236528,1039.42133333333
84,144,134.1629,4,5,7.5,1,1401,4,False,4.2932128,1073.3032
85,145,134.1107,4,5,6.5,7.5,1391.5,4,False,4.2915424,1072.8856
86,146,147.2995,5,5,7.5,5.5,1405.5,4,False,4.713584,942.7168
87,147,147.0924,5,5,2,7.5,1319.5,4,False,4.7069568,941.39136
88,148,147.0916,5,5,7.5,2,1402,4,False,4.7069312,941.38624
89,149,147.0088,5,5,5.5,7.5,1375.5,4,False,4.7042816,940.85632
90,150,164.8545,6,5,8,5,1413,5,False,5.275344,879.224
91,151,164.8816,6,5,3,8,1336,5,False,5.2762112,879.368533333333
92,152,112.3653,4,5,8.5,3,1419,4,False,3.5956896,898.9224
93,153,112.279,4,5,5.5,8.5,1376.5,4,False,3.592928,898.232
94,154,141.4976,6,5,9.33333333333333,4.66666666666667,1434,6,False,4.5279232,754.653866666667
95,155,141.4087,6,5,4.66666666666667,9.33333333333333,1364,6,False,4.5250784,754.179733333334
96,172,115.6955,4,6,7.5,1,1657,4,False,3.702256,925.564
97,173,115.6707,4,6,6.5,7.5,1647.5,4,False,3.7014624,925.3656
98,174,138.1982,5,6,6.5,0,1640,4,False,4.4223424,884.46848
99,175,138.1856,5,6,6.5,6.5,1646.5,4,False,4.4219392,884.38784
100,176,172.6239,6,6,7,6,1654,5,False,5.5239648,920.6608
101,177,172.5667,6,6,1,7,1559,5,False,5.5221344,920.355733333333
102,178,131.2062,4,6,7.5,2,1658,4,False,4.1985984,1049.6496
103,179,131.1381,4,6,5.5,7.5,1631.5,4,False,4.1964192,1049.1048
104,180,131.2462,4,6,7.5,5.5,1661.5,4,False,4.1998784,1049.9696
105,181,131.1838,4,6,2,7.5,1575.5,4,False,4.1978816,1049.4704
106,182,138.2592,5,6,7.5,3,1659,4,False,4.4242944,884.85888
107,183,137.9587,5,6,4.5,7.5,1615.5,4,False,4.4146784,882.93568
108,184,91.0682,3,6,8,5,1669,3,False,2.9141824,971.394133333333
109,185,91.0799,3,6,3,8,1592,3,False,2.9145568,971.518933333334
110,186,120.9534,6,6,9.33333333333333,4.66666666666667,1690,6,False,3.8705088,645.0848
111,187,120.9249,6,6,4.66666666666667,9.33333333333333,1620,6,False,3.8695968,644.9328
112,200,200.2531,7,7,4.5,2.5,1866.5,2,False,6.4080992,915.442742857143
113,201,81.0636,3,7,5,2,1874,1,False,2.5940352,864.6784
114,202,200.3193,7,7,2,4.5,1828.5,2,False,6.4102176,915.745371428571
115,203,80.836,3,7,3,5,1845,1,False,2.586752,862.250666666667
116,204,142.5013,5,7,6.5,0,1896,4,False,4.5600416,912.00832
117,205,142.5941,5,7,6.5,6.5,1902.5,4,False,4.5630112,912.60224
118,206,180.6562,6,7,7,6,1910,5,False,5.7809984,963.499733333333
119,207,180.5887,6,7,1,7,1815,5,False,5.7788384,963.139733333333
120,208,124.1115,4,7,7.5,1,1913,4,False,3.971568,992.892
121,209,123.8939,4,7,6.5,7.5,1903.5,4,False,3.9646048,991.1512
122,210,135.7941,5,7,7.5,5.5,1917.5,4,False,4.3454112,869.08224
123,211,135.4799,5,7,2,7.5,1831.5,4,False,4.3353568,867.07136
124,212,135.5892,5,7,7.5,2,1914,4,False,4.3388544,867.77088
125,213,135.4372,5,7,5.5,7.5,1887.5,4,False,4.3339904,866.79808
126,214,152.1361,6,7,8,5,1925,5,False,4.8683552,811.392533333333
127,215,152.1855,6,7,3,8,1848,5,False,4.869936,811.656
128,216,104.1132,4,7,8.5,3,1931,4,False,3.3316224,832.9056
129,217,103.9479,4,7,5.5,8.5,1888.5,4,False,3.3263328,831.5832
130,218,131.0647,6,7,9.33333333333333,4.66666666666667,1946,6,False,4.1940704,699.011733333333
131,219,130.9426,6,7,4.66666666666667,9.33333333333333,1876,6,False,4.1901632,698.360533333333
132,236,127.0369,5,8,6.5,0,2152,4,False,4.0651808,813.03616
133,237,126.9797,5,8,6.5,6.5,2158.5,4,False,4.0633504,812.67008
134,238,158.951,6,8,7,6,2166,5,False,5.086432,847.738666666667
135,239,159.0196,6,8,1,7,2071,5,False,5.0886272,848.104533333333
136,240,106.3634,4,8,7.5,1,2169,4,False,3.4036288,850.9072
137,241,106.2282,4,8,6.5,7.5,2159.5,4,False,3.3993024,849.8256
138,242,120.3111,4,8,7.5,2,2170,4,False,3.8499552,962.4888
139,243,120.1801,4,8,5.5,7.5,2143.5,4,False,3.8457632,961.4408
140,244,120.4111,4,8,7.5,5.5,2173.5,4,False,3.8531552,963.2888
141,245,120.2869,4,8,2,7.5,2087.5,4,False,3.8491808,962.2952
142,246,137.4969,6,8,8,5,2181,5,False,4.3999008,733.3168
143,247,137.4574,6,8,3,8,2104,5,False,4.3986368,733.106133333333
144,248,94.681,4,8,8.5,3,2187,4,False,3.029792,757.448
