,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
344,528,219.2958,7,18,2.5,0,4648,2,False,7.0174656,1002.49508571429
345,529,58.3205,2,18,4,0,4672,1,False,1.866256,933.128
346,530,219.1277,7,18,2.5,2.5,4650.5,2,False,7.0120864,1001.72662857143
347,531,58.2883,2,18,4,4,4676,1,False,1.8652256,932.6128
348,532,194.6354,7,18,2.5,1.5,4649.5,2,False,6.2283328,889.761828571429
349,533,113.4545,6,18,4.5,3.5,4683.5,2,False,3.630544,605.090666666667
350,534,194.5647,7,18,1,2.5,4626.5,2,False,6.2260704,889.438628571429
351,535,113.4029,6,18,1,4.5,4628.5,2,False,3.6288928,604.815466666667
352,536,168.9011,7,18,3.5,1,4665,2,False,5.4048352,772.119314285714
353,537,47.546,3,18,5,1,4689,1,False,1.521472,507.157333333333
354,538,168.7595,7,18,2.5,3.5,4651.5,2,False,5.400304,771.472
355,539,47.5008,3,18,4,5,4677,1,False,1.5200256,506.6752
356,540,172.6916,7,18,4.66666666666667,2.33333333333333,4685,3,False,5.5261312,789.447314285714
357,541,172.6008,7,18,2.33333333333333,4.66666666666667,4650,3,False,5.5232256,789.032228571429
358,542,102.9767,5,18,7,0,4720,5,False,3.2952544,659.05088
359,543,103.0142,5,18,7,7,4727,5,False,3.2964544,659.29088
360,544,82.9823,4,18,7.5,6.5,4734.5,4,False,2.6554336,663.8584
361,545,82.9013,4,18,1,7.5,4631.5,4,False,2.6528416,663.2104
362,546,82.9847,4,18,7.5,1,4729,4,False,2.6555104,663.8776
363,547,82.7815,4,18,6.5,7.5,4719.5,4,False,2.649008,662.252
364,548,97.9481,5,18,8,6,4742,5,False,3.1343392,626.86784
365,549,97.8859,5,18,2,8,4648,5,False,3.1323488,626.46976
366,550,98.0463,5,18,8,2,4738,5,False,3.1374816,627.49632
367,551,97.8414,5,18,6,8,4712,5,False,3.1309248,626.18496
368,552,104.8632,5,18,8,5,4741,5,False,3.3556224,671.12448
369,553,104.7992,5,18,3,8,4664,5,False,3.3535744,670.71488
370,554,74.3822,4,18,8.5,3,4747,4,False,2.3802304,595.0576
371,555,74.1917,4,18,5.5,8.5,4704.5,4,False,2.3741344,593.5336
372,556,51.6548,3,18,9,5,4757,3,False,1.6529536,550.984533333333
373,557,51.655,3,18,4,9,4681,3,False,1.65296,550.986666666667
374,558,46.4352,3,18,9.66666666666667,4.33333333333333,4767,3,False,1.4859264,495.3088
375,559,46.3676,3,18,5.33333333333333,9.66666666666667,4703,3,False,1.4837632,494.587733333333
376,560,224.1645,7,19,2.5,0,4904,2,False,7.173264,1024.752
377,561,58.4019,2,19,4,0,4928,1,False,1.8688608,934.4304
378,562,223.7453,7,19,2.5,2.5,4906.5,2,False,7.1598496,1022.83565714286
379,563,58.4605,2,19,4,4,4932,1,False,1.870736,935.368
380,564,198.4857,7,19,2.5,1.5,4905.5,2,False,6.3515424,907.3632
381,565,113.887,6,19,4.5,3.5,4939.5,2,False,3.644384,607.397333333333
382,566,198.4031,7,19,1,2.5,4882.5,2,False,6.3488992,906.9856
383,567,113.7408,6,19,1,4.5,4884.5,2,False,3.6397056,606.6176
384,568,170.2679,7,19,3.5,1,4921,2,False,5.4485728,778.367542857143
385,569,47.7405,3,19,5,1,4945,1,False,1.527696,509.232
386,570,170.1752,7,19,2.5,3.5,4907.5,2,False,5.4456064,777.943771428572
387,571,47.7026,3,19,4,5,4933,1,False,1.5264832,508.827733333333
388,572,173.3784,7,19,4.66666666666667,2.33333333333333,4941,3,False,5.5481088,792.586971428572
389,573,173.3066,7,19,2.33333333333333,4.66666666666667,4906,3,False,5.5458112,792.258742857143
390,574,106.9451,5,19,7,0,4976,5,False,3.4222432,684.44864
391,575,107.0811,5,19,7,7,4983,5,False,3.4265952,685.31904
392,576,83.0389,4,19,7.5,6.5,4990.5,4,False,2.6572448,664.3112
393,577,82.9852,4,19,1,7.5,4887.5,4,False,2.6555264,663.8816
394,578,85.0163,4,19,7.5,1,4985,4,False,2.7205216,680.1304
395,579,84.8672,4,19,6.5,7.5,4975.5,4,False,2.7157504,678.9376
396,580,98.0734,5,19,8,6,4998,5,False,3.1383488,627.66976
397,581,97.9682,5,19,2,8,4904,5,False,3.1349824,626.99648
398,582,98.1765,5,19,8,2,4994,5,False,3.141648,628.3296
399,583,97.9649,5,19,6,8,4968,5,False,3.1348768,626.97536
400,584,106.8335,5,19,8,5,4997,5,False,3.418672,683.7344
401,585,106.8038,5,19,3,8,4920,5,False,3.4177216,683.54432
402,586,76.4237,4,19,8.5,3,5003,4,False,2.4455584,611.3896
403,587,76.2787,4,19,5.5,8.5,4960.5,4,False,2.4409184,610.2296
404,588,55.6755,3,19,9,5,5013,3,False,1.781616,593.872
405,589,55.7172,3,19,4,9,4937,3,False,1.7829504,594.3168
406,590,50.4737,3,19,9.66666666666667,4.33333333333333,5023,3,False,1.6151584,538.386133333333
407,591,50.4608,3,19,5.33333333333333,9.66666666666667,4959,3,False,1.6147456,538.248533333333
408,592,208.6793,7,20,2.5,0,5160,2,False,6.6777376,953.962514285714
409,593,56.012,2,20,4,0,5184,1,False,1.792384,896.192
410,594,208.3914,7,20,2.5,2.5,5162.5,2,False,6.6685248,952.6464
411,595,55.9648,2,20,4,4,5188,1,False,1.7908736,895.4368
412,596,185.6297,7,20,2.5,1.5,5161.5,2,False,5.9401504,848.592914285714
413,597,109.498,6,20,4.5,3.5,5195.5,2,False,3.503936,583.989333333333
414,598,185.5583,7,20,1,2.5,5138.5,2,False,5.9378656,848.266514285714
415,599,109.5124,6,20,1,4.5,5140.5,2,False,3.5043968,584.066133333333
416,600,161.2237,7,20,3.5,1,5177,2,False,5.1591584,737.022628571429
417,601,45.683,3,20,5,1,5201,1,False,1.461856,487.285333333333
418,602,161.0692,7,20,2.5,3.5,5163.5,2,False,5.1542144,736.316342857143
419,603,45.708,3,20,4,5,5189,1,False,1.462656,487.552
420,604,166.333,7,20,4.66666666666667,2.33333333333333,5197,3,False,5.322656,760.379428571429
421,605,166.3012,7,20,2.33333333333333,4.66666666666667,5162,3,False,5.3216384,760.234057142857
422,606,99.8759,5,20,7,0,5232,5,False,3.1960288,639.20576
423,607,100.0714,5,20,7,7,5239,5,False,3.2022848,640.45696
424,608,80.6747,4,20,7.5,6.5,5246.5,4,False,2.5815904,645.3976
425,609,80.6027,4,20,1,7.5,5143.5,4,False,2.5792864,644.8216
426,610,80.6271,4,20,7.5,1,5241,4,False,2.5800672,645.0168
427,611,80.5476,4,20,6.5,7.5,5231.5,4,False,2.5775232,644.3808
428,612,95.27812,5,20,8,6,5254,5,False,3.04889984,609.779968
429,613,95.19628,5,20,2,8,5160,5,False,3.04628096,609.256192
430,614,95.24626,5,20,8,2,5250,5,False,3.04788032,609.576064
431,615,95.21784,5,20,6,8,5224,5,False,3.04697088,609.394176
432,616,101.8533,5,20,8,5,5253,5,False,3.2593056,651.86112
433,617,101.9138,5,20,3,8,5176,5,False,3.2612416,652.24832
434,618,72.5622,4,20,8.5,3,5259,4,False,2.3219904,580.4976
435,619,72.4602,4,20,5.5,8.5,5216.5,4,False,2.3187264,579.6816
436,620,52.6218,3,20,9,5,5269,3,False,1.6838976,561.2992
437,621,52.5893,3,20,4,9,5193,3,False,1.6828576,560.952533333334
438,622,47.7833,3,20,9.66666666666667,4.33333333333333,5279,3,False,1.5290656,509.688533333333
439,623,47.7543,3,20,5.33333333333333,9.66666666666667,5215,3,False,1.5281376,509.3792
440,624,214.1199,7,21,2.5,0,5416,2,False,6.8518368,978.833828571428
441,625,56.1993,2,21,4,0,5440,1,False,1.7983776,899.1888
442,626,213.5566,7,21,2.5,2.5,5418.5,2,False,6.8338112,976.258742857143
443,627,56.1604,2,21,4,4,5444,1,False,1.7971328,898.5664
444,628,189.9275,7,21,2.5,1.5,5417.5,2,False,6.07768,868.24
445,629,109.8335,6,21,4.5,3.5,5451.5,2,False,3.514672,585.778666666667
446,630,189.6453,7,21,1,2.5,5394.5,2,False,6.0686496,866.949942857143
447,631,109.8693,6,21,1,4.5,5396.5,2,False,3.5158176,585.9696
448,632,162.6169,7,21,3.5,1,5433,2,False,5.2037408,743.391542857143
449,633,45.8345,3,21,5,1,5457,1,False,1.466704,488.901333333333
450,634,162.4353,7,21,2.5,3.5,5419.5,2,False,5.1979296,742.561371428571
451,635,45.8462,3,21,4,5,5445,1,False,1.4670784,489.026133333333
452,636,167.1456,7,21,4.66666666666667,2.33333333333333,5453,3,False,5.3486592,764.094171428572
453,637,167.0605,7,21,2.33333333333333,4.66666666666667,5418,3,False,5.345936,763.705142857143
454,638,104.067,5,21,7,0,5488,5,False,3.330144,666.0288
455,639,104.1986,5,21,7,7,5495,5,False,3.3343552,666.87104
456,640,82.7116,4,21,7.5,6.5,5502.5,4,False,2.6467712,661.6928
457,641,82.6902,4,21,1,7.5,5399.5,4,False,2.6460864,661.5216
458,642,90.37017,5,21,8,1,5505,5,False,2.89184544,578.369088
459,643,90.24048,5,21,7,8,5496,5,False,2.88769536,577.539072
460,644,99.4075,5,21,8,6,5510,5,False,3.18104,636.208
461,645,99.3158,5,21,2,8,5416,5,False,3.1781056,635.62112
462,646,99.5105,5,21,8,2,5506,5,False,3.184336,636.8672
463,647,99.4091,5,21,6,8,5480,5,False,3.1810912,636.21824
464,648,103.9811,5,21,8,5,5509,5,False,3.3273952,665.47904
465,649,103.9851,5,21,3,8,5432,5,False,3.3275232,665.50464
466,650,74.6571,4,21,8.5,3,5515,4,False,2.3890272,597.2568
467,651,74.5613,4,21,5.5,8.5,5472.5,4,False,2.3859616,596.4904
468,652,54.7242,3,21,9,5,5525,3,False,1.7511744,583.7248
469,653,54.6844,3,21,4,9,5449,3,False,1.7499008,583.300266666667
470,654,49.8613,3,21,9.66666666666667,4.33333333333333,5535,3,False,1.5955616,531.853866666667
471,655,49.8219,3,21,5.33333333333333,9.66666666666667,5471,3,False,1.5943008,531.4336
472,656,200.7478,7,22,2.5,0,5672,2,False,6.4239296,917.704228571429
473,657,54.0738,2,22,4,0,5696,1,False,1.7303616,865.1808
474,658,200.3191,7,22,2.5,2.5,5674.5,2,False,6.4102112,915.744457142857
475,659,54.0515,2,22,4,4,5700,1,False,1.729648,864.824
476,660,179.0817,7,22,2.5,1.5,5673.5,2,False,5.7306144,818.6592
477,661,106.2782,6,22,4.5,3.5,5707.5,2,False,3.4009024,566.817066666667
478,662,178.9051,7,22,1,2.5,5650.5,2,False,5.7249632,817.851885714286
479,663,106.193,6,22,1,4.5,5652.5,2,False,3.398176,566.362666666667
480,664,155.2725,7,22,3.5,1,5689,2,False,4.96872,709.817142857143
481,665,44.146,3,22,5,1,5713,1,False,1.412672,470.890666666667
482,666,155.19,7,22,2.5,3.5,5675.5,2,False,4.96608,709.44
483,667,44.1745,3,22,4,5,5701,1,False,1.413584,471.194666666667
484,668,161.4295,7,22,4.66666666666667,2.33333333333333,5709,3,False,5.165744,737.963428571429
485,669,161.3822,7,22,2.33333333333333,4.66666666666667,5674,3,False,5.1642304,737.7472
486,670,97.67489,5,22,7,0,5744,5,False,3.12559648,625.119296
487,671,97.52683,5,22,7,7,5751,5,False,3.12085856,624.171712
488,672,78.8171,4,22,7.5,6.5,5758.5,4,False,2.5221472,630.5368
489,673,78.739,4,22,1,7.5,5655.5,4,False,2.519648,629.912
490,674,78.7827,4,22,7.5,1,5753,4,False,2.5210464,630.2616
491,675,78.7351,4,22,6.5,7.5,5743.5,4,False,2.5195232,629.8808
492,676,93.03244,5,22,8,6,5766,5,False,2.97703808,595.407616
493,677,92.99828,5,22,2,8,5672,5,False,2.97594496,595.188992
494,678,93.20214,5,22,8,2,5762,5,False,2.98246848,596.493696
495,679,93.116,5,22,6,8,5736,5,False,2.979712,595.9424
496,680,99.5801,5,22,8,5,5765,5,False,3.1865632,637.31264
497,681,99.5222,5,22,3,8,5688,5,False,3.1847104,636.94208
498,682,71.1779,4,22,8.5,3,5771,4,False,2.2776928,569.4232
499,683,71.0506,4,22,5.5,8.5,5728.5,4,False,2.2736192,568.4048
500,684,51.9178,3,22,9,5,5781,3,False,1.6613696,553.789866666667
501,685,51.867,3,22,4,9,5705,3,False,1.659744,553.248
502,686,47.331,3,22,9.66666666666667,4.33333333333333,5791,3,False,1.514592,504.864
503,687,47.2898,3,22,5.33333333333333,9.66666666666667,5727,3,False,1.5132736,504.424533333333
504,688,205.9082,7,23,2.5,0,5928,2,False,6.5890624,941.294628571429
505,689,54.3001,2,23,4,0,5952,1,False,1.7376032,868.8016
506,690,205.537,7,23,2.5,2.5,5930.5,2,False,6.577184,939.597714285714
507,691,54.3436,2,23,4,4,5956,1,False,1.7389952,869.4976
508,692,183.3647,7,23,2.5,1.5,5929.5,2,False,5.8676704,838.238628571428
509,693,106.5575,6,23,4.5,3.5,5963.5,2,False,3.40984,568.306666666667
510,694,183.0266,7,23,1,2.5,5906.5,2,False,5.8568512,836.693028571429
511,695,106.5277,6,23,1,4.5,5908.5,2,False,3.4088864,568.147733333333
512,696,156.4832,7,23,3.5,1,5945,2,False,5.0074624,715.351771428572
513,697,44.2708,3,23,5,1,5969,1,False,1.4166656,472.221866666667
514,698,156.4669,7,23,2.5,3.5,5931.5,2,False,5.0069408,715.277257142857
515,699,44.2858,3,23,4,5,5957,1,False,1.4171456,472.381866666667
516,700,162.2252,7,23,4.66666666666667,2.33333333333333,5965,3,False,5.1912064,741.600914285714
517,701,162.1417,7,23,2.33333333333333,4.66666666666667,5930,3,False,5.1885344,741.2192
518,702,101.5189,5,23,7,0,6000,5,False,3.2486048,649.72096
519,703,101.7915,5,23,7,7,6007,5,False,3.257328,651.4656
520,704,80.9778,4,23,7.5,6.5,6014.5,4,False,2.5912896,647.8224
521,705,80.8605,4,23,1,7.5,5911.5,4,False,2.587536,646.884
522,706,88.51993,5,23,8,1,6017,5,False,2.83263776,566.527552
523,707,88.49709,5,23,7,8,6008,5,False,2.83190688,566.381376
524,708,97.1623,5,23,8,6,6022,5,False,3.1091936,621.83872
525,709,97.1818,5,23,2,8,5928,5,False,3.1098176,621.96352
526,710,97.271,5,23,8,2,6018,5,False,3.112672,622.5344
527,711,97.2717,5,23,6,8,5992,5,False,3.1126944,622.53888
528,712,101.7297,5,23,8,5,6021,5,False,3.2553504,651.07008
529,713,101.6356,5,23,3,8,5944,5,False,3.2523392,650.46784
530,714,73.2973,4,23,8.5,3,6027,4,False,2.3455136,586.3784
531,715,73.1957,4,23,5.5,8.5,5984.5,4,False,2.3422624,585.5656
532,716,53.9952,3,23,9,5,6037,3,False,1.7278464,575.9488
533,717,53.9639,3,23,4,9,5961,3,False,1.7268448,575.614933333333
534,718,49.4346,3,23,9.66666666666667,4.33333333333333,6047,3,False,1.5819072,527.3024
535,719,49.3587,3,23,5.33333333333333,9.66666666666667,5983,3,False,1.5794784,526.4928
536,720,194.2161,7,24,2.5,0,6184,2,False,6.2149152,887.845028571429
537,721,52.481,2,24,4,0,6208,1,False,1.679392,839.696
538,722,193.8289,7,24,2.5,2.5,6186.5,2,False,6.2025248,886.074971428571
539,723,52.4442,2,24,4,4,6212,1,False,1.6782144,839.1072
540,724,173.665,7,24,2.5,1.5,6185.5,2,False,5.55728,793.897142857143
541,725,103.3066,6,24,4.5,3.5,6219.5,2,False,3.3058112,550.968533333333
542,726,173.4449,7,24,1,2.5,6162.5,2,False,5.5502368,792.890971428572
543,727,103.2387,6,24,1,4.5,6164.5,2,False,3.3036384,550.6064
544,728,150.0472,7,24,3.5,1,6201,2,False,4.8015104,685.930057142857
545,729,42.8318,3,24,5,1,6225,1,False,1.3706176,456.872533333333
546,730,150.1752,7,24,2.5,3.5,6187.5,2,False,4.8056064,686.5152
547,731,42.9151,3,24,4,5,6213,1,False,1.3732832,457.761066666667
548,732,157.2764,7,24,4.66666666666667,2.33333333333333,6221,3,False,5.0328448,718.977828571429
549,733,157.2554,7,24,2.33333333333333,4.66666666666667,6186,3,False,5.0321728,718.881828571429
550,734,99.5413,5,24,7,0,6256,5,False,3.1853216,637.06432
551,735,99.662,5,24,7,7,6263,5,False,3.189184,637.8368
552,736,77.2863,4,24,7.5,6.5,6270.5,4,False,2.4731616,618.2904
553,737,77.2247,4,24,1,7.5,6167.5,4,False,2.4711904,617.7976
554,738,79.3269,4,24,7.5,1,6265,4,False,2.5384608,634.6152
555,739,79.2184,4,24,6.5,7.5,6255.5,4,False,2.5349888,633.7472
556,740,91.18294,5,24,8,6,6278,5,False,2.91785408,583.570816
557,741,91.17708,5,24,2,8,6184,5,False,2.91766656,583.533312
558,742,91.18451,5,24,8,2,6274,5,False,2.91790432,583.580864
559,743,91.08482,5,24,6,8,6248,5,False,2.91471424,582.942848
560,744,99.6393,5,24,8,5,6277,5,False,3.1884576,637.69152
561,745,99.5807,5,24,3,8,6200,5,False,3.1865824,637.31648
562,746,72.076,4,24,8.5,3,6283,4,False,2.306432,576.608
563,747,72.017,4,24,5.5,8.5,6240.5,4,False,2.304544,576.136
564,748,53.2869,3,24,9,5,6293,3,False,1.7051808,568.3936
565,749,53.2296,3,24,4,9,6217,3,False,1.7033472,567.7824
566,750,48.9861,3,24,9.66666666666667,4.33333333333333,6303,3,False,1.5675552,522.5184
567,751,48.926,3,24,5.33333333333333,9.66666666666667,6239,3,False,1.565632,521.877333333334
568,752,199.3269,7,25,2.5,0,6440,2,False,6.3784608,911.208685714286
569,753,52.7709,2,25,4,0,6464,1,False,1.6886688,844.3344
570,754,198.9359,7,25,2.5,2.5,6442.5,2,False,6.3659488,909.421257142857
571,755,52.7979,2,25,4,4,6468,1,False,1.6895328,844.7664
572,756,177.9468,7,25,2.5,1.5,6441.5,2,False,5.6942976,813.471085714286
573,757,103.7158,4,25,4.5,3.5,6475.5,2,False,3.3189056,829.7264
574,758,177.5816,7,25,1,2.5,6418.5,2,False,5.6826112,811.8016
575,759,103.6225,4,25,1,4.5,6420.5,2,False,3.31592,828.98
576,760,194.234,7,25,4,1,6465,3,False,6.215488,887.926857142857
577,761,194.4163,7,25,3,4,6452,3,False,6.2213216,888.760228571429
578,762,158.0183,7,25,4.66666666666667,2.33333333333333,6477,3,False,5.0565856,722.369371428572
579,763,158.0269,7,25,2.33333333333333,4.66666666666667,6442,3,False,5.0568608,722.408685714286
580,764,99.6574,5,25,7,0,6512,5,False,3.1890368,637.80736
581,765,99.6813,5,25,7,7,6519,5,False,3.1898016,637.96032
582,766,79.4483,4,25,7.5,6.5,6526.5,4,False,2.5423456,635.5864
583,767,79.3653,4,25,1,7.5,6423.5,4,False,2.5396896,634.9224
584,768,87.00023,5,25,8,1,6529,5,False,2.78400736,556.801472
585,769,86.99068,5,25,7,8,6520,5,False,2.78370176,556.740352
586,770,97.365,5,25,8,6,6534,5,False,3.11568,623.136
587,771,97.3962,5,25,2,8,6440,5,False,3.1166784,623.33568
588,772,97.3671,5,25,8,2,6530,5,False,3.1157472,623.14944
589,773,97.295,5,25,6,8,6504,5,False,3.11344,622.688
590,774,101.7571,5,25,8,5,6533,5,False,3.2562272,651.24544
591,775,101.7515,5,25,3,8,6456,5,False,3.256048,651.2096
592,776,74.2319,4,25,8.5,3,6539,4,False,2.3754208,593.8552
593,777,74.1909,4,25,5.5,8.5,6496.5,4,False,2.3741088,593.5272
594,778,60.87351,4,25,9.5,5.5,6557.5,4,False,1.94795232,486.98808
595,779,60.80618,4,25,4,9.5,6473.5,4,False,1.94579776,486.44944
596,780,62.57118,4,25,10,4.25,6564.25,4,False,2.00227776,500.56944
597,781,62.53821,4,25,5.75,10,6502,4,False,2.00122272,500.30568
598,782,188.2935,7,26,2.5,0,6696,2,False,6.025392,860.770285714286
599,783,51.0509,2,26,4,0,6720,1,False,1.6336288,816.8144
600,784,187.7526,7,26,2.5,2.5,6698.5,2,False,6.0080832,858.2976
601,785,51.0692,2,26,4,4,6724,1,False,1.6342144,817.1072
602,786,168.2816,7,26,2.5,1.5,6697.5,2,False,5.3850112,769.287314285714
603,787,100.652,3,26,4.5,3.5,6731.5,2,False,3.220864,1073.62133333333
604,788,168.0381,7,26,1,2.5,6674.5,2,False,5.3772192,768.174171428571
605,789,100.5836,3,26,1,4.5,6676.5,2,False,3.2186752,1072.89173333333
606,790,187.0854,7,26,4,1,6721,3,False,5.9867328,855.247542857143
607,791,187.1451,7,26,3,4,6708,3,False,5.9886432,855.520457142857
608,792,153.6986,7,26,4.66666666666667,2.33333333333333,6733,3,False,4.9183552,702.622171428571
609,793,153.6114,7,26,2.33333333333333,4.66666666666667,6698,3,False,4.9155648,702.223542857143
610,794,97.7872,5,26,7,0,6768,5,False,3.1291904,625.83808
611,795,97.9267,5,26,7,7,6775,5,False,3.1336544,626.73088
612,796,78.0308,4,26,7.5,6.5,6782.5,4,False,2.4969856,624.2464
613,797,77.9747,4,26,1,7.5,6679.5,4,False,2.4951904,623.7976
614,798,85.57234,5,26,8,1,6785,5,False,2.73831488,547.662976
615,799,85.4926,5,26,7,8,6776,5,False,2.7357632,547.15264
616,800,93.6403,5,26,8,6,6790,5,False,2.9964896,599.29792
617,801,93.6119,5,26,2,8,6696,5,False,2.9955808,599.11616
618,802,93.6127,5,26,8,2,6786,5,False,2.9956064,599.12128
619,803,93.615,5,26,6,8,6760,5,False,2.99568,599.136
620,804,97.8664,5,26,8,5,6789,5,False,3.1317248,626.34496
621,805,97.8565,5,26,3,8,6712,5,False,3.131408,626.2816
622,806,73.2219,4,26,8.5,3,6795,4,False,2.3431008,585.7752
623,807,73.1751,4,26,5.5,8.5,6752.5,4,False,2.3416032,585.4008
624,808,52.768,3,26,9,5,6805,3,False,1.688576,562.858666666667
625,809,52.7404,3,26,4,9,6729,3,False,1.6876928,562.564266666667
626,810,52.683,3,26,9.66666666666667,4.33333333333333,6815,3,False,1.685856,561.952
627,811,52.6726,3,26,5.33333333333333,9.66666666666667,6751,3,False,1.6855232,561.841066666667
628,820,188.4326,7,27,4,1,6977,3,False,6.0298432,861.406171428571
629,821,188.5409,7,27,3,4,6964,3,False,6.0333088,861.901257142857
630,826,100.0066,5,27,7,0,7024,5,False,3.2002112,640.04224
631,827,100.0233,5,27,7,7,7031,5,False,3.2007456,640.14912
632,828,85.80092,5,27,8,7,7047,5,False,2.74562944,549.125888
633,829,85.7139,5,27,1,8,6936,5,False,2.7428448,548.56896
634,830,85.79157,5,27,8,1,7041,5,False,2.74533024,549.066048
635,831,85.71936,5,27,7,8,7032,5,False,2.74301952,548.603904
636,832,95.9385,5,27,8,6,7046,5,False,3.070032,614.0064
637,833,95.8434,5,27,2,8,6952,5,False,3.0669888,613.39776
638,834,95.8195,5,27,8,2,7042,5,False,3.066224,613.2448
639,835,95.8344,5,27,6,8,7016,5,False,3.0667008,613.34016
640,836,100.1605,5,27,8,5,7045,5,False,3.205136,641.0272
641,837,100.0425,5,27,3,8,6968,5,False,3.20136,640.272
642,838,73.4205,4,27,8.5,3,7051,4,False,2.349456,587.364
643,839,73.3459,4,27,5.5,8.5,7008.5,4,False,2.3470688,586.7672
644,840,60.43869,4,27,9.5,5.5,7069.5,4,False,1.93403808,483.50952
645,841,60.38065,4,27,4,9.5,6985.5,4,False,1.9321808,483.0452
646,842,62.25581,4,27,10,4.25,7076.25,4,False,1.99218592,498.04648
647,843,62.27952,4,27,5.75,10,7014,4,False,1.99294464,498.23616
648,848,180.564,7,28,3,2,7218,3,False,5.778048,825.435428571429
649,849,41.0039,1,28,5,4,7252,1,False,1.3121248,1312.1248
650,850,180.5709,7,28,1,3,7187,3,False,5.7782688,825.466971428571
651,851,40.9091,1,28,1,5,7189,1,False,1.3090912,1309.0912
652,852,181.4455,7,28,4,1,7233,3,False,5.806256,829.465142857143
653,853,181.5421,7,28,3,4,7220,3,False,5.8093472,829.906742857143
654,858,98.583,5,28,7,0,7280,5,False,3.154656,630.9312
655,859,98.4423,5,28,7,7,7287,5,False,3.1501536,630.03072
656,860,84.6266,5,28,8,7,7303,5,False,2.7080512,541.61024
657,861,84.53665,5,28,1,8,7192,5,False,2.7051728,541.03456
658,862,84.57784,5,28,8,1,7297,5,False,2.70649088,541.298176
659,863,84.59405,5,28,7,8,7288,5,False,2.7070096,541.40192
660,864,92.4788,5,28,8,6,7302,5,False,2.9593216,591.86432
661,865,92.4637,5,28,2,8,7208,5,False,2.9588384,591.76768
662,866,92.4443,5,28,8,2,7298,5,False,2.9582176,591.64352
663,867,92.3933,5,28,6,8,7272,5,False,2.9565856,591.31712
664,868,96.6714,5,28,8,5,7301,5,False,3.0934848,618.69696
665,869,96.586,5,28,3,8,7224,5,False,3.090752,618.1504
666,870,70.6238,4,28,8.5,3,7307,4,False,2.2599616,564.9904
667,871,70.5751,4,28,5.5,8.5,7264.5,4,False,2.2584032,564.6008
668,872,59.90909,4,28,9.5,5.5,7325.5,4,False,1.91709088,479.27272
669,873,59.84713,4,28,4,9.5,7241.5,4,False,1.91510816,478.77704
670,874,61.90243,4,28,10,4.25,7332.25,4,False,1.98087776,495.21944
671,875,61.95143,4,28,5.75,10,7270,4,False,1.98244576,495.61144
672,880,174.446,7,29,3.66666666666667,1.33333333333333,7484,3,False,5.582272,797.467428571429
673,881,96.0729,5,29,7,0,7536,5,False,3.0743328,614.86656
674,882,95.8925,5,29,7,6,7542,5,False,3.06856,613.712
675,883,111.2986,6,29,7.5,1,7545,6,False,3.5615552,593.592533333333
676,884,111.27876,6,29,7.5,5.5,7549.5,6,False,3.56092032,593.48672
677,885,122.8621,6,29,7.5,2,7546,6,False,3.9315872,655.264533333333
678,886,92.3224,5,29,8,5,7557,5,False,2.9543168,590.86336
679,887,70.0552,4,29,8.5,3,7563,4,False,2.2417664,560.4416
680,888,50.9034,3,29,9,5,7573,3,False,1.6289088,542.9696
681,889,43.7143,3,29,9.66666666666667,4.33333333333333,7583,3,False,1.3988576,466.285866666667
682,890,188.6264,6,29,3,3,7475,3,False,6.0360448,1006.00746666667
683,891,188.5,6,29,0,3,7427,3,False,6.032,1005.33333333333
684,896,76.0664,4,29,6.5,6.5,7534.5,4,False,2.4341248,608.5312
685,897,76.0798,4,29,0,6.5,7430.5,4,False,2.4345536,608.6384
686,898,94.5606,5,29,6,7,7527,5,False,3.0259392,605.18784
687,899,94.5579,5,29,1,7,7447,5,False,3.0258528,605.17056
688,900,107.77009,6,29,5.5,7.5,7519.5,6,False,3.44864288,574.773813333333
689,901,107.76781,6,29,2,7.5,7463.5,6,False,3.44856992,574.761653333333
690,902,85.5117,5,29,5,8,7512,5,False,2.7363744,547.27488
691,903,64.3317,4,29,3,8.5,7480.5,4,False,2.0586144,514.6536
692,904,81.9806,5,29,4.6,9.2,7506.8,5,False,2.6233792,524.67584
693,905,179.7017,7,30,4,1,7745,3,False,5.7504544,821.493485714286
694,906,179.7316,6,30,4,4,7748,3,False,5.7514112,958.568533333333
695,909,150.5179,7,30,4.66666666666667,3.33333333333333,7758,3,False,4.8165728,688.081828571429
696,910,81.59172,5,30,8,1,7809,5,False,2.61093504,522.187008
697,911,81.63197,5,30,8,8,7816,5,False,2.61222304,522.444608
698,912,94.0026,5,30,8,2,7810,5,False,3.0080832,601.61664
699,913,93.9967,5,30,8,7,7815,5,False,3.0078944,601.57888
700,914,104.66792,6,30,8.5,3,7819,6,False,3.34937344,558.228906666667
701,915,104.75259,6,30,8.5,6.5,7822.5,6,False,3.35208288,558.68048
702,916,85.8966,5,30,9,6,7830,5,False,2.7486912,549.73824
703,917,65.5028,4,30,9.5,4,7836,4,False,2.0960896,524.0224
704,918,49.8647,3,30,10,5,7845,3,False,1.5956704,531.890133333333
705,919,43.02746,3,30,10.6666666666667,6.33333333333333,7857,3,False,1.37687872,458.959573333333
706,924,167.5873,7,30,2.33333333333333,4.66666666666667,7722,3,False,5.3627936,766.113371428571
