,Slinks,DAQlpGBT,link variable,Total lpGBT of Slinks,total rate,lpGBT Rates,FPGA,Event-Buffer,Total lpGBT of FPGA,Total Rate of FPGA
0,1,364,single,8,705.38303,101.6522,14,28,55,5493.90423
1,1,53,single,8,705.38303,133.7296,14,28,55,5493.90423
2,1,1425,single,8,705.38303,23.9386,14,28,55,5493.90423
3,1,1272,single,8,705.38303,69.49162,14,28,55,5493.90423
4,1,651,single,8,705.38303,74.5613,14,28,55,5493.90423
5,1,797,single,8,705.38303,77.9747,14,28,55,5493.90423
6,2,51,single,7,685.55985,133.7812,4,28,53,5474.07182
7,2,1375,single,7,685.55985,12.4002,4,28,53,5474.07182
8,2,1406,single,7,685.55985,19.918,4,28,53,5474.07182
9,2,1187,single,7,685.55985,54.5275,4,28,53,5474.07182
10,2,773,single,7,685.55985,97.295,4,28,53,5474.07182
11,3,1343,single,6,682.42466,12.9046,22,28,53,5507.44052
12,3,1336,single,6,682.42466,48.762,22,28,53,5507.44052
13,3,507,single,6,682.42466,50.0605,22,28,53,5507.44052
14,3,954,single,6,682.42466,98.69173,22,28,53,5507.44052
15,4,1378,single,6,688.62585,12.189,14,28,55,5493.90423
16,4,1357,single,6,688.62585,12.5762,14,28,55,5493.90423
17,4,1398,single,6,688.62585,20.377,14,28,55,5493.90423
18,4,1037,single,6,688.62585,55.775,14,28,55,5493.90423
19,5,1386,single,8,683.7925,12.2023,15,29,53,5481.7033
20,5,1448,single,8,683.7925,23.4409,15,29,53,5481.7033
21,5,1070,single,8,683.7925,54.99298,15,29,53,5481.7033
22,5,1241,single,8,683.7925,77.4395,15,29,53,5481.7033
23,5,916,single,8,683.7925,85.8966,15,29,53,5481.7033
24,5,1046,single,8,683.7925,87.88855,15,29,53,5481.7033
25,6,1348,single,6,684.75162,12.9106,7,28,54,5479.27421
26,6,1088,single,6,684.75162,47.5933,7,28,54,5479.27421
27,6,779,single,6,684.75162,60.80618,7,28,54,5479.27421
28,6,770,single,6,684.75162,97.365,7,28,54,5479.27421
29,7,22,single,7,685.98378,132.7535,20,30,56,5489.5818
30,7,1368,single,7,685.98378,12.3769,20,30,56,5489.5818
31,7,620,single,7,685.98378,52.6218,20,30,56,5489.5818
32,7,1216,single,7,685.98378,61.7012,20,30,56,5489.5818
33,7,967,single,7,685.98378,96.43854,20,30,56,5489.5818
34,8,20,single,8,685.9902,132.8645,14,28,55,5493.90423
35,8,1365,single,8,685.9902,12.3828,14,28,55,5493.90423
36,8,1001,single,8,685.9902,28.6771,14,28,55,5493.90423
37,8,465,single,8,685.9902,52.5307,14,28,55,5493.90423
38,8,1258,single,8,685.9902,66.4863,14,28,55,5493.90423
39,8,615,single,8,685.9902,95.21784,14,28,55,5493.90423
40,9,1372,single,6,680.50011,12.3921,14,28,55,5493.90423
41,9,1358,single,6,680.50011,12.5907,14,28,55,5493.90423
42,9,569,single,6,680.50011,47.7405,14,28,55,5493.90423
43,9,953,single,6,680.50011,98.7012,14,28,55,5493.90423
44,10,1382,single,6,691.40519,12.1958,27,28,54,5492.42182
45,10,1352,single,6,691.40519,12.5923,27,28,54,5492.42182
46,10,627,single,6,691.40519,56.1604,27,28,54,5492.42182
47,10,940,single,6,691.40519,84.3924,27,28,54,5492.42182
48,11,1385,single,6,693.9047,12.2131,28,30,56,5490.10547
49,11,1422,single,6,693.9047,24.417,28,30,56,5490.10547
50,11,691,single,6,693.9047,54.3436,28,30,56,5490.10547
51,11,827,single,6,693.9047,100.0233,28,30,56,5490.10547
52,12,1367,single,7,682.27441,12.3806,27,28,54,5492.42182
53,12,1470,single,7,682.27441,27.9728,27,28,54,5492.42182
54,12,1130,single,7,682.27441,64.8164,27,28,54,5492.42182
55,12,1223,single,7,682.27441,82.5246,27,28,54,5492.42182
